02000US1 |1 |Northeast |B17001 |1 |Total: |53,147,002 |+/-8,533 |53,138,469 |53,155,535 |5,188
02000US1 |1 |Northeast |B17001 |28 |55 to 64 years |294,151 |+/-8,460 |285,691 |302,611 |5,143
02000US1 |1 |Northeast |B17001 |29 |65 to 74 years |200,398 |+/-5,625 |194,773 |206,023 |3,419
02000US1 |1 |Northeast |B17001 |30 |75 years and over |279,763 |+/-7,718 |272,045 |287,481 |4,692
02000US1 |1 |Northeast |B17001 |31 |Income in the past 12 months at or above poverty level: |46,949,699 |+/-56,834 |46,892,865 |47,006,533 |34,550
02000US1 |1 |Northeast |B17001 |32 |Male: |23,103,937 |+/-32,306 |23,071,631 |23,136,243 |19,639
02000US1 |1 |Northeast |B17001 |33 |Under 5 years |1,375,156 |+/-9,539 |1,365,617 |1,384,695 |5,799
02000US1 |1 |Northeast |B17001 |34 |5 years |278,311 |+/-7,624 |270,687 |285,935 |4,635
02000US1 |1 |Northeast |B17001 |35 |6 to 11 years |1,735,759 |+/-16,361 |1,719,398 |1,752,120 |9,946
02000US1 |1 |Northeast |B17001 |36 |12 to 14 years |936,797 |+/-12,731 |924,066 |949,528 |7,739
02000US1 |1 |Northeast |B17001 |37 |15 years |336,112 |+/-7,916 |328,196 |344,028 |4,812
02000US1 |1 |Northeast |B17001 |38 |16 and 17 years |660,960 |+/-8,678 |652,282 |669,638 |5,275
02000US1 |1 |Northeast |B17001 |39 |18 to 24 years |1,983,253 |+/-11,812 |1,971,441 |1,995,065 |7,181
02000US1 |1 |Northeast |B17001 |40 |25 to 34 years |2,995,472 |+/-11,593 |2,983,879 |3,007,065 |7,047
02000US1 |1 |Northeast |B17001 |41 |35 to 44 years |3,699,624 |+/-11,257 |3,688,367 |3,710,881 |6,843
02000US1 |1 |Northeast |B17001 |42 |45 to 54 years |3,716,202 |+/-8,805 |3,707,397 |3,725,007 |5,352
02000US1 |1 |Northeast |B17001 |43 |55 to 64 years |2,660,472 |+/-6,828 |2,653,644 |2,667,300 |4,151
02000US1 |1 |Northeast |B17001 |44 |65 to 74 years |1,505,562 |+/-6,119 |1,499,443 |1,511,681 |3,720
02000US1 |1 |Northeast |B17001 |45 |75 years and over |1,220,257 |+/-5,428 |1,214,829 |1,225,685 |3,300
02000US1 |1 |Northeast |B17001 |46 |Female: |23,845,762 |+/-36,586 |23,809,176 |23,882,348 |22,241
02000US1 |1 |Northeast |B17001 |47 |Under 5 years |1,313,138 |+/-8,545 |1,304,593 |1,321,683 |5,195
02000US1 |1 |Northeast |B17001 |48 |5 years |263,802 |+/-6,856 |256,946 |270,658 |4,168
02000US1 |1 |Northeast |B17001 |49 |6 to 11 years |1,654,459 |+/-13,783 |1,640,676 |1,668,242 |8,379
02000US1 |1 |Northeast |B17001 |50 |12 to 14 years |908,972 |+/-11,701 |897,271 |920,673 |7,113
02000US1 |1 |Northeast |B17001 |51 |15 years |317,705 |+/-6,987 |310,718 |324,692 |4,247
02000US1 |1 |Northeast |B17001 |52 |16 and 17 years |637,955 |+/-8,174 |629,781 |646,129 |4,969
02000US1 |1 |Northeast |B17001 |53 |18 to 24 years |1,774,403 |+/-15,096 |1,759,307 |1,789,499 |9,177
02000US1 |1 |Northeast |B17001 |54 |25 to 34 years |2,880,320 |+/-11,541 |2,868,779 |2,891,861 |7,016
02000US1 |1 |Northeast |B17001 |55 |35 to 44 years |3,727,591 |+/-10,320 |3,717,271 |3,737,911 |6,273
02000US1 |1 |Northeast |B17001 |56 |45 to 54 years |3,863,059 |+/-10,138 |3,852,921 |3,873,197 |6,163
02000US1 |1 |Northeast |B17001 |57 |55 to 64 years |2,863,195 |+/-9,017 |2,854,178 |2,872,212 |5,481
02000US1 |1 |Northeast |B17001 |58 |65 to 74 years |1,769,824 |+/-5,899 |1,763,925 |1,775,723 |3,586
02000US1 |1 |Northeast |B17001 |59 |75 years and over |1,871,339 |+/-8,500 |1,862,839 |1,879,839 |5,167
02000US1 |1 |Northeast |B17001A |1 |Total: |40,314,356 |+/-36,775 |40,277,581 |40,351,131 |22,355
02000US1 |1 |Northeast |B17001A |2 |Income in the past 12 months below poverty level: |3,496,114 |+/-40,533 |3,455,581 |3,536,647 |24,640
02000US1 |1 |Northeast |B17001A |3 |Male: |1,496,108 |+/-21,070 |1,475,038 |1,517,178 |12,808
02000US1 |1 |Northeast |B17001A |4 |Under 5 years |142,322 |+/-6,632 |135,690 |148,954 |4,032
02000US1 |1 |Northeast |B17001A |5 |5 years |29,696 |+/-2,985 |26,711 |32,681 |1,815
02000US1 |1 |Northeast |B17001A |6 |6 to 11 years |146,934 |+/-5,320 |141,614 |152,254 |3,234
02000US1 |1 |Northeast |B17001A |7 |12 to 14 years |75,682 |+/-4,272 |71,410 |79,954 |2,597
02000US1 |1 |Northeast |B17001A |8 |15 years |28,710 |+/-2,588 |26,122 |31,298 |1,573
02000US1 |1 |Northeast |B17001A |9 |16 and 17 years |53,521 |+/-3,546 |49,975 |57,067 |2,156
02000US1 |1 |Northeast |B17001A |10 |18 to 24 years |220,774 |+/-8,224 |212,550 |228,998 |5,000
02000US1 |1 |Northeast |B17001A |11 |25 to 34 years |164,430 |+/-6,797 |157,633 |171,227 |4,132
02000US1 |1 |Northeast |B17001A |12 |35 to 44 years |171,679 |+/-6,479 |165,200 |178,158 |3,938
02000US1 |1 |Northeast |B17001A |13 |45 to 54 years |177,970 |+/-6,421 |171,549 |184,391 |3,904
02000US1 |1 |Northeast |B17001A |14 |55 to 64 years |137,340 |+/-5,175 |132,165 |142,515 |3,146
02000US1 |1 |Northeast |B17001A |15 |65 to 74 years |76,187 |+/-4,752 |71,435 |80,939 |2,889
02000US1 |1 |Northeast |B17001A |16 |75 years and over |70,863 |+/-3,037 |67,826 |73,900 |1,846
02000US1 |1 |Northeast |B17001A |17 |Female: |2,000,006 |+/-26,859 |1,973,147 |2,026,865 |16,328
02000US1 |1 |Northeast |B17001A |18 |Under 5 years |138,914 |+/-6,539 |132,375 |145,453 |3,975
02000US1 |1 |Northeast |B17001A |19 |5 years |25,607 |+/-2,655 |22,952 |28,262 |1,614
02000US1 |1 |Northeast |B17001A |20 |6 to 11 years |138,990 |+/-6,102 |132,888 |145,092 |3,709
02000US1 |1 |Northeast |B17001A |21 |12 to 14 years |69,093 |+/-3,964 |65,129 |73,057 |2,410
02000US1 |1 |Northeast |B17001A |22 |15 years |26,006 |+/-2,317 |23,689 |28,323 |1,408
02000US1 |1 |Northeast |B17001A |23 |16 and 17 years |53,474 |+/-3,825 |49,649 |57,299 |2,325
02000US1 |1 |Northeast |B17001A |24 |18 to 24 years |289,669 |+/-9,179 |280,490 |298,848 |5,580
02000US1 |1 |Northeast |B17001A |25 |25 to 34 years |256,908 |+/-7,632 |249,276 |264,540 |4,640
02000US1 |1 |Northeast |B17001A |26 |35 to 44 years |241,321 |+/-6,492 |234,829 |247,813 |3,946
02000US1 |1 |Northeast |B17001A |27 |45 to 54 years |214,784 |+/-5,751 |209,033 |220,535 |3,496
02000US1 |1 |Northeast |B17001A |28 |55 to 64 years |187,663 |+/-6,889 |180,774 |194,552 |4,188
02000US1 |1 |Northeast |B17001A |29 |65 to 74 years |134,070 |+/-4,634 |129,436 |138,704 |2,817
02000US1 |1 |Northeast |B17001A |30 |75 years and over |223,507 |+/-7,206 |216,301 |230,713 |4,381
02000US1 |1 |Northeast |B17001A |31 |Income in the past 12 months at or above poverty level: |36,818,242 |+/-48,058 |36,770,184 |36,866,300 |29,214
02000US1 |1 |Northeast |B17001A |32 |Male: |18,152,297 |+/-25,744 |18,126,553 |18,178,041 |15,650
02000US1 |1 |Northeast |B17001A |33 |Under 5 years |1,000,426 |+/-6,659 |993,767 |1,007,085 |4,048
02000US1 |1 |Northeast |B17001A |34 |5 years |204,746 |+/-6,554 |198,192 |211,300 |3,984
02000US1 |1 |Northeast |B17001A |35 |6 to 11 years |1,295,336 |+/-11,544 |1,283,792 |1,306,880 |7,018
02000US1 |1 |Northeast |B17001A |36 |12 to 14 years |708,642 |+/-11,859 |696,783 |720,501 |7,209
02000US1 |1 |Northeast |B17001A |37 |15 years |255,286 |+/-6,786 |248,500 |262,072 |4,125
02000US1 |1 |Northeast |B17001A |38 |16 and 17 years |500,122 |+/-7,822 |492,300 |507,944 |4,755
02000US1 |1 |Northeast |B17001A |39 |18 to 24 years |1,455,633 |+/-9,888 |1,445,745 |1,465,521 |6,011
02000US1 |1 |Northeast |B17001A |40 |25 to 34 years |2,165,703 |+/-9,871 |2,155,832 |2,175,574 |6,000
02000US1 |1 |Northeast |B17001A |41 |35 to 44 years |2,847,497 |+/-8,964 |2,838,533 |2,856,461 |5,449
02000US1 |1 |Northeast |B17001A |42 |45 to 54 years |3,049,894 |+/-8,441 |3,041,453 |3,058,335 |5,131
02000US1 |1 |Northeast |B17001A |43 |55 to 64 years |2,256,165 |+/-6,495 |2,249,670 |2,262,660 |3,948
02000US1 |1 |Northeast |B17001A |44 |65 to 74 years |1,299,907 |+/-5,370 |1,294,537 |1,305,277 |3,264
02000US1 |1 |Northeast |B17001A |45 |75 years and over |1,112,940 |+/-3,834 |1,109,106 |1,116,774 |2,331
02000US1 |1 |Northeast |B17001A |46 |Female: |18,665,945 |+/-34,073 |18,631,872 |18,700,018 |20,713
02000US1 |1 |Northeast |B17001A |47 |Under 5 years |949,139 |+/-6,508 |942,631 |955,647 |3,956
02000US1 |1 |Northeast |B17001A |48 |5 years |192,941 |+/-5,719 |187,222 |198,660 |3,477
02000US1 |1 |Northeast |B17001A |49 |6 to 11 years |1,240,778 |+/-11,168 |1,229,610 |1,251,946 |6,789
02000US1 |1 |Northeast |B17001A |50 |12 to 14 years |682,359 |+/-9,715 |672,644 |692,074 |5,906
02000US1 |1 |Northeast |B17001A |51 |15 years |237,726 |+/-6,218 |231,508 |243,944 |3,780
02000US1 |1 |Northeast |B17001A |52 |16 and 17 years |482,023 |+/-6,739 |475,284 |488,762 |4,096
02000US1 |1 |Northeast |B17001A |53 |18 to 24 years |1,285,058 |+/-10,894 |1,274,164 |1,295,952 |6,622
02000US1 |1 |Northeast |B17001A |54 |25 to 34 years |2,061,102 |+/-9,515 |2,051,587 |2,070,617 |5,784
02000US1 |1 |Northeast |B17001A |55 |35 to 44 years |2,846,430 |+/-8,579 |2,837,851 |2,855,009 |5,215
02000US1 |1 |Northeast |B17001A |56 |45 to 54 years |3,116,661 |+/-7,858 |3,108,803 |3,124,519 |4,777
02000US1 |1 |Northeast |B17001A |57 |55 to 64 years |2,385,305 |+/-7,395 |2,377,910 |2,392,700 |4,496
02000US1 |1 |Northeast |B17001A |58 |65 to 74 years |1,495,765 |+/-5,641 |1,490,124 |1,501,406 |3,429
02000US1 |1 |Northeast |B17001A |59 |75 years and over |1,690,658 |+/-8,041 |1,682,617 |1,698,699 |4,888
02000US1 |1 |Northeast |B17001B |1 |Total: |5,997,732 |+/-20,811 |5,976,921 |6,018,543 |12,651
02000US1 |1 |Northeast |B17001B |2 |Income in the past 12 months below poverty level: |1,360,032 |+/-30,365 |1,329,667 |1,390,397 |18,459
02000US1 |1 |Northeast |B17001B |3 |Male: |575,038 |+/-15,035 |560,003 |590,073 |9,140
02000US1 |1 |Northeast |B17001B |4 |Under 5 years |82,183 |+/-6,530 |75,653 |88,713 |3,970
02000US1 |1 |Northeast |B17001B |5 |5 years |14,648 |+/-2,341 |12,307 |16,989 |1,423
02000US1 |1 |Northeast |B17001B |6 |6 to 11 years |94,527 |+/-5,470 |89,057 |99,997 |3,325
02000US1 |1 |Northeast |B17001B |7 |12 to 14 years |46,411 |+/-4,000 |42,411 |50,411 |2,432
02000US1 |1 |Northeast |B17001B |8 |15 years |14,063 |+/-2,119 |11,944 |16,182 |1,288
02000US1 |1 |Northeast |B17001B |9 |16 and 17 years |29,156 |+/-2,928 |26,228 |32,084 |1,780
02000US1 |1 |Northeast |B17001B |10 |18 to 24 years |63,797 |+/-4,157 |59,640 |67,954 |2,527
02000US1 |1 |Northeast |B17001B |11 |25 to 34 years |50,617 |+/-3,713 |46,904 |54,330 |2,257
02000US1 |1 |Northeast |B17001B |12 |35 to 44 years |56,273 |+/-3,690 |52,583 |59,963 |2,243
02000US1 |1 |Northeast |B17001B |13 |45 to 54 years |56,775 |+/-3,173 |53,602 |59,948 |1,929
02000US1 |1 |Northeast |B17001B |14 |55 to 64 years |34,610 |+/-2,950 |31,660 |37,560 |1,793
02000US1 |1 |Northeast |B17001B |15 |65 to 74 years |19,536 |+/-2,089 |17,447 |21,625 |1,270
02000US1 |1 |Northeast |B17001B |16 |75 years and over |12,442 |+/-1,784 |10,658 |14,226 |1,084
02000US1 |1 |Northeast |B17001B |17 |Female: |784,994 |+/-18,854 |766,140 |803,848 |11,461
02000US1 |1 |Northeast |B17001B |18 |Under 5 years |76,178 |+/-5,033 |71,145 |81,211 |3,059
02000US1 |1 |Northeast |B17001B |19 |5 years |12,772 |+/-1,697 |11,075 |14,469 |1,031
02000US1 |1 |Northeast |B17001B |20 |6 to 11 years |87,047 |+/-5,002 |82,045 |92,049 |3,041
02000US1 |1 |Northeast |B17001B |21 |12 to 14 years |46,023 |+/-3,422 |42,601 |49,445 |2,080
02000US1 |1 |Northeast |B17001B |22 |15 years |16,533 |+/-2,338 |14,195 |18,871 |1,421
02000US1 |1 |Northeast |B17001B |23 |16 and 17 years |32,108 |+/-2,983 |29,125 |35,091 |1,814
02000US1 |1 |Northeast |B17001B |24 |18 to 24 years |94,669 |+/-5,615 |89,054 |100,284 |3,414
02000US1 |1 |Northeast |B17001B |25 |25 to 34 years |105,828 |+/-5,664 |100,164 |111,492 |3,443
02000US1 |1 |Northeast |B17001B |26 |35 to 44 years |106,115 |+/-5,224 |100,891 |111,339 |3,176
02000US1 |1 |Northeast |B17001B |27 |45 to 54 years |83,558 |+/-4,429 |79,129 |87,987 |2,692
02000US1 |1 |Northeast |B17001B |28 |55 to 64 years |57,883 |+/-3,410 |54,473 |61,293 |2,073
02000US1 |1 |Northeast |B17001B |29 |65 to 74 years |34,914 |+/-2,618 |32,296 |37,532 |1,591
02000US1 |1 |Northeast |B17001B |30 |75 years and over |31,366 |+/-2,231 |29,135 |33,597 |1,356
02000US1 |1 |Northeast |B17001B |31 |Income in the past 12 months at or above poverty level: |4,637,700 |+/-35,788 |4,601,912 |4,673,488 |21,756
02000US1 |1 |Northeast |B17001B |32 |Male: |2,181,310 |+/-18,662 |2,162,648 |2,199,972 |11,345
02000US1 |1 |Northeast |B17001B |33 |Under 5 years |154,604 |+/-6,180 |148,424 |160,784 |3,757
02000US1 |1 |Northeast |B17001B |34 |5 years |30,187 |+/-3,256 |26,931 |33,443 |1,979
02000US1 |1 |Northeast |B17001B |35 |6 to 11 years |193,322 |+/-5,996 |187,326 |199,318 |3,645
02000US1 |1 |Northeast |B17001B |36 |12 to 14 years |109,141 |+/-4,927 |104,214 |114,068 |2,995
02000US1 |1 |Northeast |B17001B |37 |15 years |40,530 |+/-2,843 |37,687 |43,373 |1,728
02000US1 |1 |Northeast |B17001B |38 |16 and 17 years |81,784 |+/-4,257 |77,527 |86,041 |2,588
02000US1 |1 |Northeast |B17001B |39 |18 to 24 years |239,172 |+/-5,741 |233,431 |244,913 |3,490
02000US1 |1 |Northeast |B17001B |40 |25 to 34 years |307,339 |+/-6,461 |300,878 |313,800 |3,928
02000US1 |1 |Northeast |B17001B |41 |35 to 44 years |349,905 |+/-4,921 |344,984 |354,826 |2,992
02000US1 |1 |Northeast |B17001B |42 |45 to 54 years |307,621 |+/-4,810 |302,811 |312,431 |2,924
02000US1 |1 |Northeast |B17001B |43 |55 to 64 years |194,240 |+/-3,595 |190,645 |197,835 |2,185
02000US1 |1 |Northeast |B17001B |44 |65 to 74 years |109,284 |+/-2,533 |106,751 |111,817 |1,540
02000US1 |1 |Northeast |B17001B |45 |75 years and over |64,181 |+/-2,479 |61,702 |66,660 |1,507
02000US1 |1 |Northeast |B17001B |46 |Female: |2,456,390 |+/-21,266 |2,435,124 |2,477,656 |12,928
02000US1 |1 |Northeast |B17001B |47 |Under 5 years |148,607 |+/-5,446 |143,161 |154,053 |3,311
02000US1 |1 |Northeast |B17001B |48 |5 years |29,172 |+/-2,634 |26,538 |31,806 |1,601
02000US1 |1 |Northeast |B17001B |49 |6 to 11 years |181,179 |+/-6,465 |174,714 |187,644 |3,930
02000US1 |1 |Northeast |B17001B |50 |12 to 14 years |109,730 |+/-5,115 |104,615 |114,845 |3,109
02000US1 |1 |Northeast |B17001B |51 |15 years |39,654 |+/-2,989 |36,665 |42,643 |1,817
02000US1 |1 |Northeast |B17001B |52 |16 and 17 years |77,726 |+/-3,822 |73,904 |81,548 |2,323
02000US1 |1 |Northeast |B17001B |53 |18 to 24 years |234,758 |+/-6,627 |228,131 |241,385 |4,028
02000US1 |1 |Northeast |B17001B |54 |25 to 34 years |331,282 |+/-6,557 |324,725 |337,839 |3,986
02000US1 |1 |Northeast |B17001B |55 |35 to 44 years |405,569 |+/-5,961 |399,608 |411,530 |3,624
02000US1 |1 |Northeast |B17001B |56 |45 to 54 years |370,932 |+/-5,894 |365,038 |376,826 |3,583
02000US1 |1 |Northeast |B17001B |57 |55 to 64 years |253,813 |+/-4,258 |249,555 |258,071 |2,588
02000US1 |1 |Northeast |B17001B |58 |65 to 74 years |160,541 |+/-3,038 |157,503 |163,579 |1,847
02000US1 |1 |Northeast |B17001B |59 |75 years and over |113,427 |+/-2,932 |110,495 |116,359 |1,782
02000US1 |1 |Northeast |B17001C |1 |Total: |129,317 |+/-5,785 |123,532 |135,102 |3,517
02000US1 |1 |Northeast |B17001C |2 |Income in the past 12 months below poverty level: |30,579 |+/-3,647 |26,932 |34,226 |2,217
02000US1 |1 |Northeast |B17001C |3 |Male: |12,212 |+/-1,945 |10,267 |14,157 |1,183
02000US1 |1 |Northeast |B17001C |4 |Under 5 years |1,036 |+/-455 |581 |1,491 |276
02000US1 |1 |Northeast |B17001C |5 |5 years |344 |+/-342 |2 |686 |208
02000US1 |1 |Northeast |B17001C |6 |6 to 11 years |1,378 |+/-537 |841 |1,915 |326
02000US1 |1 |Northeast |B17001C |7 |12 to 14 years |559 |+/-264 |295 |823 |160
02000US1 |1 |Northeast |B17001C |8 |15 years |134 |+/-149 |0 |283 |90
02000US1 |1 |Northeast |B17001C |9 |16 and 17 years |570 |+/-317 |253 |887 |192
02000US1 |1 |Northeast |B17001C |10 |18 to 24 years |1,268 |+/-453 |815 |1,721 |276
02000US1 |1 |Northeast |B17001C |11 |25 to 34 years |1,763 |+/-797 |966 |2,560 |484
02000US1 |1 |Northeast |B17001C |12 |35 to 44 years |1,907 |+/-824 |1,083 |2,731 |501
02000US1 |1 |Northeast |B17001C |13 |45 to 54 years |1,557 |+/-576 |981 |2,133 |350
02000US1 |1 |Northeast |B17001C |14 |55 to 64 years |946 |+/-351 |595 |1,297 |213
02000US1 |1 |Northeast |B17001C |15 |65 to 74 years |672 |+/-404 |268 |1,076 |246
02000US1 |1 |Northeast |B17001C |16 |75 years and over |78 |+/-100 |0 |178 |61
02000US1 |1 |Northeast |B17001C |17 |Female: |18,367 |+/-2,504 |15,863 |20,871 |1,522
02000US1 |1 |Northeast |B17001C |18 |Under 5 years |1,012 |+/-431 |581 |1,443 |262
02000US1 |1 |Northeast |B17001C |19 |5 years |283 |+/-287 |0 |570 |174
02000US1 |1 |Northeast |B17001C |20 |6 to 11 years |1,828 |+/-536 |1,292 |2,364 |326
02000US1 |1 |Northeast |B17001C |21 |12 to 14 years |765 |+/-486 |279 |1,251 |296
02000US1 |1 |Northeast |B17001C |22 |15 years |269 |+/-176 |93 |445 |107
02000US1 |1 |Northeast |B17001C |23 |16 and 17 years |369 |+/-245 |124 |614 |149
02000US1 |1 |Northeast |B17001C |24 |18 to 24 years |2,213 |+/-821 |1,392 |3,034 |499
02000US1 |1 |Northeast |B17001C |25 |25 to 34 years |2,828 |+/-823 |2,005 |3,651 |500
02000US1 |1 |Northeast |B17001C |26 |35 to 44 years |2,864 |+/-1,021 |1,843 |3,885 |621
02000US1 |1 |Northeast |B17001C |27 |45 to 54 years |2,727 |+/-699 |2,028 |3,426 |425
02000US1 |1 |Northeast |B17001C |28 |55 to 64 years |1,693 |+/-687 |1,006 |2,380 |418
02000US1 |1 |Northeast |B17001C |29 |65 to 74 years |789 |+/-464 |325 |1,253 |282
02000US1 |1 |Northeast |B17001C |30 |75 years and over |727 |+/-448 |279 |1,175 |272
02000US1 |1 |Northeast |B17001C |31 |Income in the past 12 months at or above poverty level: |98,738 |+/-5,333 |93,405 |104,071 |3,242
02000US1 |1 |Northeast |B17001C |32 |Male: |47,922 |+/-3,234 |44,688 |51,156 |1,966
02000US1 |1 |Northeast |B17001C |33 |Under 5 years |2,873 |+/-793 |2,080 |3,666 |482
02000US1 |1 |Northeast |B17001C |34 |5 years |372 |+/-252 |120 |624 |153
02000US1 |1 |Northeast |B17001C |35 |6 to 11 years |3,483 |+/-907 |2,576 |4,390 |551
02000US1 |1 |Northeast |B17001C |36 |12 to 14 years |1,942 |+/-631 |1,311 |2,573 |383
02000US1 |1 |Northeast |B17001C |37 |15 years |631 |+/-299 |332 |930 |182
02000US1 |1 |Northeast |B17001C |38 |16 and 17 years |1,113 |+/-491 |622 |1,604 |298
02000US1 |1 |Northeast |B17001C |39 |18 to 24 years |5,546 |+/-1,382 |4,164 |6,928 |840
02000US1 |1 |Northeast |B17001C |40 |25 to 34 years |6,873 |+/-1,422 |5,451 |8,295 |864
02000US1 |1 |Northeast |B17001C |41 |35 to 44 years |7,548 |+/-1,469 |6,079 |9,017 |893
02000US1 |1 |Northeast |B17001C |42 |45 to 54 years |6,914 |+/-1,211 |5,703 |8,125 |736
02000US1 |1 |Northeast |B17001C |43 |55 to 64 years |5,683 |+/-1,018 |4,665 |6,701 |619
02000US1 |1 |Northeast |B17001C |44 |65 to 74 years |3,138 |+/-878 |2,260 |4,016 |534
02000US1 |1 |Northeast |B17001C |45 |75 years and over |1,806 |+/-663 |1,143 |2,469 |403
02000US1 |1 |Northeast |B17001C |46 |Female: |50,816 |+/-3,639 |47,177 |54,455 |2,212
02000US1 |1 |Northeast |B17001C |47 |Under 5 years |2,583 |+/-831 |1,752 |3,414 |505
02000US1 |1 |Northeast |B17001C |48 |5 years |449 |+/-294 |155 |743 |179
02000US1 |1 |Northeast |B17001C |49 |6 to 11 years |2,995 |+/-720 |2,275 |3,715 |438
02000US1 |1 |Northeast |B17001C |50 |12 to 14 years |2,247 |+/-1,020 |1,227 |3,267 |620
02000US1 |1 |Northeast |B17001C |51 |15 years |782 |+/-341 |441 |1,123 |207
02000US1 |1 |Northeast |B17001C |52 |16 and 17 years |1,553 |+/-529 |1,024 |2,082 |321
02000US1 |1 |Northeast |B17001C |53 |18 to 24 years |4,288 |+/-1,054 |3,234 |5,342 |641
02000US1 |1 |Northeast |B17001C |54 |25 to 34 years |8,217 |+/-1,543 |6,674 |9,760 |938
02000US1 |1 |Northeast |B17001C |55 |35 to 44 years |7,534 |+/-1,312 |6,222 |8,846 |797
02000US1 |1 |Northeast |B17001C |56 |45 to 54 years |9,351 |+/-1,230 |8,121 |10,581 |748
02000US1 |1 |Northeast |B17001C |57 |55 to 64 years |5,514 |+/-1,035 |4,479 |6,549 |629
02000US1 |1 |Northeast |B17001C |58 |65 to 74 years |2,383 |+/-718 |1,665 |3,101 |436
02000US1 |1 |Northeast |B17001C |59 |75 years and over |2,920 |+/-865 |2,055 |3,785 |526
02000US1 |1 |Northeast |B17001D |1 |Total: |2,704,819 |+/-9,657 |2,695,162 |2,714,476 |5,871
02000US1 |1 |Northeast |B17001D |2 |Income in the past 12 months below poverty level: |341,823 |+/-17,641 |324,182 |359,464 |10,724
02000US1 |1 |Northeast |B17001D |3 |Male: |161,906 |+/-8,870 |153,036 |170,776 |5,392
02000US1 |1 |Northeast |B17001D |4 |Under 5 years |13,397 |+/-1,821 |11,576 |15,218 |1,107
02000US1 |1 |Northeast |B17001D |5 |5 years |3,289 |+/-947 |2,342 |4,236 |575
02000US1 |1 |Northeast |B17001D |6 |6 to 11 years |13,624 |+/-2,141 |11,483 |15,765 |1,302
02000US1 |1 |Northeast |B17001D |7 |12 to 14 years |7,065 |+/-1,150 |5,915 |8,215 |699
02000US1 |1 |Northeast |B17001D |8 |15 years |2,195 |+/-687 |1,508 |2,882 |418
02000US1 |1 |Northeast |B17001D |9 |16 and 17 years |4,751 |+/-1,101 |3,650 |5,852 |669
02000US1 |1 |Northeast |B17001D |10 |18 to 24 years |22,999 |+/-2,701 |20,298 |25,700 |1,642
02000US1 |1 |Northeast |B17001D |11 |25 to 34 years |25,258 |+/-2,948 |22,310 |28,206 |1,792
